,File_name,class,Age_Factor
0,TESS Toronto emotional speech set data/OAF_angry/OAF_back_angry.wav,0,young
1,TESS Toronto emotional speech set data/OAF_angry/OAF_bar_angry.wav,0,young
2,TESS Toronto emotional speech set data/OAF_angry/OAF_base_angry.wav,0,young
3,TESS Toronto emotional speech set data/OAF_angry/OAF_bath_angry.wav,0,young
4,TESS Toronto emotional speech set data/OAF_angry/OAF_bean_angry.wav,0,young
5,TESS Toronto emotional speech set data/OAF_angry/OAF_beg_angry.wav,0,young
6,TESS Toronto emotional speech set data/OAF_angry/OAF_bite_angry.wav,0,young
7,TESS Toronto emotional speech set data/OAF_angry/OAF_boat_angry.wav,0,young
8,TESS Toronto emotional speech set data/OAF_angry/OAF_bone_angry.wav,0,young
9,TESS Toronto emotional speech set data/OAF_angry/OAF_book_angry.wav,0,young
10,TESS Toronto emotional speech set data/OAF_angry/OAF_bought_angry.wav,0,young
11,TESS Toronto emotional speech set data/OAF_angry/OAF_burn_angry.wav,0,young
12,TESS Toronto emotional speech set data/OAF_angry/OAF_cab_angry.wav,0,young
13,TESS Toronto emotional speech set data/OAF_angry/OAF_calm_angry.wav,0,young
14,TESS Toronto emotional speech set data/OAF_angry/OAF_came_angry.wav,0,young
15,TESS Toronto emotional speech set data/OAF_angry/OAF_cause_angry.wav,0,young
16,TESS Toronto emotional speech set data/OAF_angry/OAF_chain_angry.wav,0,young
17,TESS Toronto emotional speech set data/OAF_angry/OAF_chair_angry.wav,0,young
18,TESS Toronto emotional speech set data/OAF_angry/OAF_chalk_angry.wav,0,young
19,TESS Toronto emotional speech set data/OAF_angry/OAF_chat_angry.wav,0,young
20,TESS Toronto emotional speech set data/OAF_angry/OAF_check_angry.wav,0,young
21,TESS Toronto emotional speech set data/OAF_angry/OAF_cheek_angry.wav,0,young
22,TESS Toronto emotional speech set data/OAF_angry/OAF_chief_angry.wav,0,young
23,TESS Toronto emotional speech set data/OAF_angry/OAF_choice_angry.wav,0,young
24,TESS Toronto emotional speech set data/OAF_angry/OAF_cool_angry.wav,0,young
25,TESS Toronto emotional speech set data/OAF_angry/OAF_dab_angry.wav,0,young
26,TESS Toronto emotional speech set data/OAF_angry/OAF_date_angry.wav,0,young
27,TESS Toronto emotional speech set data/OAF_angry/OAF_dead_angry.wav,0,young
28,TESS Toronto emotional speech set data/OAF_angry/OAF_death_angry.wav,0,young
29,TESS Toronto emotional speech set data/OAF_angry/OAF_deep_angry.wav,0,young
30,TESS Toronto emotional speech set data/OAF_angry/OAF_dime_angry.wav,0,young
31,TESS Toronto emotional speech set data/OAF_angry/OAF_dip_angry.wav,0,young
32,TESS Toronto emotional speech set data/OAF_angry/OAF_ditch_angry.wav,0,young
33,TESS Toronto emotional speech set data/OAF_angry/OAF_dodge_angry.wav,0,young
34,TESS Toronto emotional speech set data/OAF_angry/OAF_dog_angry.wav,0,young
35,TESS Toronto emotional speech set data/OAF_angry/OAF_doll_angry.wav,0,young
36,TESS Toronto emotional speech set data/OAF_angry/OAF_door_angry.wav,0,young
37,TESS Toronto emotional speech set data/OAF_angry/OAF_fail_angry.wav,0,young
38,TESS Toronto emotional speech set data/OAF_angry/OAF_fall_angry.wav,0,young
39,TESS Toronto emotional speech set data/OAF_angry/OAF_far_angry.wav,0,young
40,TESS Toronto emotional speech set data/OAF_angry/OAF_fat_angry.wav,0,young
41,TESS Toronto emotional speech set data/OAF_angry/OAF_fit_angry.wav,0,young
42,TESS Toronto emotional speech set data/OAF_angry/OAF_five_angry.wav,0,young
43,TESS Toronto emotional speech set data/OAF_angry/OAF_food_angry.wav,0,young
44,TESS Toronto emotional speech set data/OAF_angry/OAF_gap_angry.wav,0,young
45,TESS Toronto emotional speech set data/OAF_angry/OAF_gas_angry.wav,0,young
46,TESS Toronto emotional speech set data/OAF_angry/OAF_gaze_angry.wav,0,young
47,TESS Toronto emotional speech set data/OAF_angry/OAF_germ_angry.wav,0,young
48,TESS Toronto emotional speech set data/OAF_angry/OAF_get_angry.wav,0,young
49,TESS Toronto emotional speech set data/OAF_angry/OAF_gin_angry.wav,0,young
50,TESS Toronto emotional speech set data/OAF_angry/OAF_goal_angry.wav,0,young
51,TESS Toronto emotional speech set data/OAF_angry/OAF_good_angry.wav,0,young
52,TESS Toronto emotional speech set data/OAF_angry/OAF_goose_angry.wav,0,young
53,TESS Toronto emotional speech set data/OAF_angry/OAF_gun_angry.wav,0,young
54,TESS Toronto emotional speech set data/OAF_angry/OAF_half_angry.wav,0,young
55,TESS Toronto emotional speech set data/OAF_angry/OAF_hall_angry.wav,0,young
56,TESS Toronto emotional speech set data/OAF_angry/OAF_hash_angry.wav,0,young
57,TESS Toronto emotional speech set data/OAF_angry/OAF_hate_angry.wav,0,young
58,TESS Toronto emotional speech set data/OAF_angry/OAF_have_angry.wav,0,young
59,TESS Toronto emotional speech set data/OAF_angry/OAF_haze_angry.wav,0,young
60,TESS Toronto emotional speech set data/OAF_angry/OAF_hire_angry.wav,0,young
61,TESS Toronto emotional speech set data/OAF_angry/OAF_hit_angry.wav,0,young
62,TESS Toronto emotional speech set data/OAF_angry/OAF_hole_angry.wav,0,young
63,TESS Toronto emotional speech set data/OAF_angry/OAF_home_angry.wav,0,young
64,TESS Toronto emotional speech set data/OAF_angry/OAF_hurl_angry.wav,0,young
65,TESS Toronto emotional speech set data/OAF_angry/OAF_hush_angry.wav,0,young
66,TESS Toronto emotional speech set data/OAF_angry/OAF_jail_angry.wav,0,young
67,TESS Toronto emotional speech set data/OAF_angry/OAF_jar_angry.wav,0,young
68,TESS Toronto emotional speech set data/OAF_angry/OAF_join_angry.wav,0,young
69,TESS Toronto emotional speech set data/OAF_angry/OAF_judge_angry.wav,0,young
70,TESS Toronto emotional speech set data/OAF_angry/OAF_jug_angry.wav,0,young
71,TESS Toronto emotional speech set data/OAF_angry/OAF_juice_angry.wav,0,young
72,TESS Toronto emotional speech set data/OAF_angry/OAF_keen_angry.wav,0,young
